x [mm],ls [mV],ld [mV],bs [Hz],bd [Hz]
1,0.2,0.1,3.1,-1.1
1.02,0.2,0.3,1.6,-3.2
1.04,0.2,0.5,1.3,-1.4
1.06,0.3,1.2,1.6,-2.8
1.08,0.3,3.0,3.8,-0.9
1.1,0.5,5.9,1.8,-1.3
1.12,0.6,8.8,2.2,-0.6
1.14,0.9,12.4,2.4,0.4
1.16,1.3,15.6,4.3,-1.8
1.18,2.8,19.1,3.8,0
1.2,3.9,22.6,4.2,-0.7
1.22,5.2,25.8,4.1,0.4
1.24,6.8,28.7,3.6,0.3
1.26,8.3,31.0,5.3,1.3
1.28,9.7,33.0,4.4,0.3
1.3,11.4,34.3,1.6,2.2
1.32,12.7,35.2,4.9,-1.4
1.34,14.2,34.5,4.9,-0.3
1.36,15.6,32.8,5.9,2.3
1.38,17.1,30.7,4.7,1.6
1.4,18.7,27.9,6.8,1.9
1.42,19.5,24.8,6.4,0.7
1.44,20.5,21.0,7.5,1.6
1.46,21.5,17.1,6.8,2.3
1.48,22.5,13.4,5.8,1.7
1.5,23.3,9.6,7.3,2.2
1.52,23.9,7.7,5.3,5.2
1.54,24.7,6.2,7.1,0.9
1.56,25.5,5.6,8.3,3.8
1.58,26.2,6.1,8,3.6
1.6,26.8,7.7,9.9,1.3
1.62,27.4,10.4,9.4,2.6
1.64,28.1,14.5,9.7,2.7
1.66,28.8,19.7,10,1.3
1.68,29.5,26.4,11.8,2.9
1.7,30.3,34.4,11.1,3.2
1.72,30.8,44.4,10.8,2.8
1.74,31.4,55.4,11.6,2.5
1.76,31.9,67.1,14.2,2.6
1.78,32.4,79.0,11.8,2.6
1.8,33.2,93.6,13.3,2.7
1.82,33.9,106.7,13.1,0.8
1.84,34.5,119.9,13.4,2
1.86,35.1,132.2,12.1,2.8
1.88,35.4,144.4,15.2,0.9
1.9,36.2,159.4,15.5,2.7
1.92,36.8,173.4,16.2,0.6
1.94,37.6,185.4,14.8,1.7
1.96,38.3,196.4,15.5,0.4
1.98,39.1,208.4,18.4,2.7
2,39.8,218.4,16,0.8
2.02,40.3,236.4,18,1
2.04,41,242.4,15.9,3.1
2.06,41.6,236.4,18.9,2.5
2.08,42.5,239.4,19.1,5.1
2.1,43.4,238.4,16.7,4.3
2.12,44.1,236.4,17.7,6.6
2.14,45,232.4,16.7,5.9
2.16,45.7,225.4,21.7,8
2.18,46.4,217.4,22.3,10.6
2.2,47.3,207.4,23.6,8.9
2.22,47.8,195.4,18.9,10.4
2.24,48.5,182.4,23.7,10.3
2.26,49.3,168.4,21,9.7
2.28,49.9,153.4,25.9,11.2
2.3,50.5,139.4,26.5,11.2
2.32,51.4,123.4,24.4,12.2
2.34,52.2,106.4,24.5,12.5
2.36,52.9,92.4,29.4,11.4
2.38,53.7,75.8,25.7,14.1
2.4,54.4,59.4,26.1,12.4
2.42,55.3,46.9,30.6,12.2
2.44,56,35.2,27.3,12.9
2.46,56.8,26.2,30.9,14.3
2.48,57.4,19.0,27,10
2.5,58.4,13.7,28.8,10.3
2.52,59.1,12.2,28.5,8.8
2.54,60,12.4,33.3,7.7
2.56,60.3,15.2,30.8,7.4
2.58,61.4,20.8,32.4,5.1
2.6,62.5,29.3,39.2,3.5
2.62,63.1,42.3,34,5.6
2.64,63.7,58.4,35.7,3.3
2.66,64.4,75.9,32.2,2.5
2.68,65.3,100.4,34.4,2.8
2.7,66.4,123.4,36.7,4.1
2.72,67.1,149.4,36.3,2.7
2.74,67.9,175.4,39.7,1.6
2.76,68.9,204.4,39.8,3.6
2.78,69.5,233.4,36.6,2.9
2.8,70.1,261.4,43.4,4.3
2.82,70.9,291.4,36.4,6.3
2.84,71.8,320.4,46.5,8.4
2.86,72.3,345.4,44.8,9.4
2.88,73.7,373.4,41.8,10.9
2.9,74.6,395.4,42.2,13.8
2.92,75,421.4,44.9,17.5
2.94,75.5,442.4,43.9,16.6
2.96,76.6,459.4,49,22.4
2.98,77.1,475.4,49.3,21.3
3,77.8,485.4,47.4,27.9
3.02,79.7,491.4,50.7,27.5
3.04,80.3,493.4,50.2,31.4
3.06,81.3,489.4,51.2,28.2
3.08,82.3,482.4,53.4,30.2
3.1,83.1,472.4,51.8,30.8
3.12,83.7,456.4,52.4,33.7
3.14,84.9,439.4,52.8,30.2
3.16,85.7,417.4,56.5,34.4
3.18,86.4,390.4,54,30.1
3.2,87.3,376.4,57.8,29.9
3.22,88,346.4,54.7,27.3
3.24,88.7,310.4,58.7,24.8
3.26,89.3,265.4,57.4,23.8
3.28,90.1,233.4,55.7,23
3.3,90.2,203.4,61.6,16.7
3.32,90.5,172.4,60,17.9
3.34,91.5,143.4,62.9,12.8
3.36,92.5,112.4,61.8,14
3.38,93.5,86.9,65.4,10
3.4,93.5,67.2,62.3,8.5
3.42,94.5,49.7,69.1,7.9
3.44,95.5,34.1,66.5,2.5
3.46,95.5,22.8,61.4,4
3.48,96.5,17.0,65.9,4.3
3.5,97.5,15.7,68.8,3.2
3.52,97.5,20.4,69.9,4.5
3.54,98.5,29.5,77.3,4.5
